"FID","Latitude","Longitude","STATE_ABBR","STATE_NAME"
470,26.26046686,-98.0000557,"TX","Texas"
471,26.13664427,-97.41967288,"TX","Texas"
487,25.28940514,-80.76528855,"FL","Florida"
571,26.88919559,-98.08103726,"TX","Texas"
587,26.11911473,-81.40620491,"FL","Florida"
588,25.85819635,-80.64739093,"FL","Florida"
673,27.88169374,-97.3149816,"TX","Texas"
687,27.11932432,-82.1935093,"FL","Florida"
688,26.84841595,-81.43607584,"FL","Florida"
689,26.70169238,-80.50624066,"FL","Florida"
788,27.86460544,-82.24856633,"FL","Florida"
789,27.7103148,-81.28076929,"FL","Florida"
790,27.50641405,-80.55396463,"FL","Florida"
869,29.42229085,-103.45018802,"TX","Texas"
872,29.45902073,-100.27706229,"TX","Texas"
873,29.48521999,-99.21695568,"TX","Texas"
874,29.50977441,-98.14578555,"TX","Texas"
875,29.52451747,-97.07406715,"TX","Texas"
876,29.52944495,-96.00207412,"TX","Texas"
889,28.70788788,-82.14581661,"FL","Florida"
890,28.55064368,-81.17946072,"FL","Florida"
891,28.29958556,-80.60503148,"FL","Florida"
972,30.27254173,-101.4176964,"TX","Texas"
974,30.35172505,-99.25372225,"TX","Texas"
975,30.3764899,-98.17032036,"TX","Texas"
976,30.39135942,-97.08635118,"TX","Texas"
977,30.39632919,-96.00209784,"TX","Texas"
978,30.39139773,-94.91784396,"TX","Texas"
982,30.28069877,-90.63095571,"LA","Louisiana"
983,30.3151473,-89.59809486,"MS","Mississippi"
985,30.41764628,-87.46427756,"AL","Alabama"
986,30.34216957,-86.04901335,"FL","Florida"
987,30.06639151,-85.10910312,"FL","Florida"
988,30.09585558,-84.1416721,"FL","Florida"
990,29.56335509,-82.00866927,"FL","Florida"
991,29.34831622,-81.28164072,"FL","Florida"
1074,31.18087306,-100.38637526,"TX","Texas"
1075,31.21583213,-99.29133861,"TX","Texas"
1077,31.25581745,-97.09891943,"TX","Texas"
1078,31.26083128,-96.00212212,"TX","Texas"
1080,31.24089347,-93.80881934,"TX","Texas"
1082,31.18102754,-91.6178599,"LA","Louisiana"
1083,31.13614279,-90.52398825,"MS","Mississippi"
1085,31.02418568,-88.34779317,"AL","Alabama"
1086,30.94519414,-87.25369416,"FL","Florida"
1088,30.76284321,-85.0821846,"FL","Florida"
1089,30.65856635,-84.00129667,"FL","Florida"
1090,30.54448289,-82.92353606,"FL","Florida"
1091,30.40356939,-81.91637454,"FL","Florida"
1165,31.48942477,-111.18387533,"AZ","Arizona"
1166,31.52244147,-110.33457624,"AZ","Arizona"
1167,31.58675685,-109.24255833,"AZ","Arizona"
1171,31.80090485,-104.85380081,"TX","Texas"
1177,32.1028888,-98.22111224,"TX","Texas"
1179,32.123087,-96.00214696,"TX","Texas"
1182,32.07779341,-92.67445408,"LA","Louisiana"
1185,31.94192758,-89.35493654,"MS","Mississippi"
1188,31.71588202,-86.05165505,"AL","Alabama"
1191,31.40029913,-82.77243469,"GA","Georgia"
1192,31.30378257,-81.78685854,"GA","Georgia"
1266,32.00377394,-111.56945809,"AZ","Arizona"
1267,32.12715245,-110.4851608,"AZ","Arizona"
1268,32.25327173,-109.38643477,"AZ","Arizona"
1269,32.36945496,-108.28407644,"NM","New Mexico"
1271,32.5718678,-106.06959413,"NM","New Mexico"
1272,32.65803188,-104.95804879,"NM","New Mexico"
1273,32.73412902,-103.84402753,"NM","New Mexico"
1279,32.97812514,-97.12494899,"TX","Texas"
1280,32.98323264,-96.00217239,"TX","Texas"
1282,32.96292249,-93.75693226,"LA","Louisiana"
1284,32.9019408,-91.51420579,"LA","Louisiana"
1288,32.65834575,-87.04625732,"AL","Alabama"
469,26.37036707,-98.74014562,"TX","Texas"
486,25.47345104,-81.17303856,"FL","Florida"
570,26.91379015,-98.96132778,"TX","Texas"
572,26.86372604,-97.47921269,"TX","Texas"
670,27.96897808,-99.81955787,"TX","Texas"
671,27.75875161,-99.12319236,"TX","Texas"
672,27.76965625,-98.09935814,"TX","Texas"
771,28.63262443,-100.08275667,"TX","Texas"
772,28.61618186,-99.18101042,"TX","Texas"
773,28.64053436,-98.12179917,"TX","Texas"
774,28.66799674,-97.08186664,"TX","Texas"
775,28.86491392,-96.05934189,"TX","Texas"
776,29.00006219,-95.36496036,"TX","Texas"
868,29.55491549,-104.20204276,"TX","Texas"
870,29.58232328,-102.84173133,"TX","Texas"
871,29.65218507,-101.11424345,"TX","Texas"
877,29.60868692,-95.03075315,"TX","Texas"
878,29.80805989,-93.95244555,"TX","Texas"
879,29.77372983,-92.6889268,"LA","Louisiana"
880,29.69971978,-91.61402835,"LA","Louisiana"
881,29.53574021,-90.6407763,"LA","Louisiana"
882,29.45306951,-89.65375188,"LA","Louisiana"
888,29.12894112,-82.7748638,"FL","Florida"
969,30.12580937,-104.41133478,"TX","Texas"
970,30.15390305,-103.57603406,"TX","Texas"
971,30.22350397,-102.50072967,"TX","Texas"
973,30.31707224,-100.33627458,"TX","Texas"
979,30.37879391,-93.83399943,"TX","Texas"
980,30.35183994,-92.7504685,"LA","Louisiana"
981,30.31722538,-91.66791235,"LA","Louisiana"
984,30.48176327,-88.49244684,"MS","Mississippi"
989,29.73006271,-82.99844955,"FL","Florida"
1069,31.13593787,-105.5078246,"TX","Texas"
1070,30.97383911,-104.71620067,"TX","Texas"
1071,31.01626898,-103.66331158,"TX","Texas"
1072,31.08107613,-102.57264945,"TX","Texas"
1073,31.13594977,-101.48024182,"TX","Texas"
1076,31.24081618,-98.19542262,"TX","Texas"
1079,31.2558561,-94.90532423,"TX","Texas"
1081,31.21594804,-92.71290051,"LA","Louisiana"
1084,31.08130762,-89.43157443,"MS","Mississippi"
1087,30.8639718,-86.16329745,"FL","Florida"
1092,29.97371977,-81.3557451,"FL","Florida"
1168,31.70187141,-108.31552335,"NM","New Mexico"
1169,31.91892785,-107.05805562,"NM","New Mexico"
1170,31.76677204,-105.88909996,"TX","Texas"
1172,31.87629998,-103.75261891,"TX","Texas"
1173,31.94169399,-102.64933629,"TX","Texas"
1174,31.99706605,-101.54424658,"TX","Texas"
1175,32.04239839,-100.43764633,"TX","Texas"
1176,32.07767644,-99.32983455,"TX","Texas"
1178,32.11802729,-97.11178188,"TX","Texas"
1180,32.11806629,-94.89251144,"TX","Texas"
1181,32.1029668,-93.78317932,"LA","Louisiana"
1183,32.04255429,-91.56663819,"LA","Louisiana"
1184,31.99726082,-90.46003268,"MS","Mississippi"
1186,31.87657231,-88.25164636,"AL","Alabama"
