FID,Genus_species,Persistence,Family,Genus,Repro_strategy,M_wing_color,z.temp.change,z.all.burned,z.high.burned,z.hist.temp,z.per.obs,z.size,gen.spec,z.bio5,Change_mean_temp,future_change
2371,Aeshna_canadensis,1,Aeshnidae,Aeshna,f,n,-0.050444123,1.524060566,2.702841667,-0.34128201,0.856829634,1.270959694,spec,-1.630300935,0.490126989,0.980253978
2387,Aeshna_canadensis,0,Aeshnidae,Aeshna,f,n,-0.316832644,0.444407347,-0.843582062,-0.328113814,0.932884476,1.270959694,spec,-1.630300935,0.444655001,0.889310003
2489,Aeshna_canadensis,0,Aeshnidae,Aeshna,f,n,-0.580221716,0.36907049,-0.129087719,-0.441886824,0.856829634,1.270959694,spec,-1.630300935,0.399695014,0.799390027
2506,Aeshna_canadensis,1,Aeshnidae,Aeshna,f,n,0.32497318,-1.122079629,-0.635444103,-0.995045037,-0.524163618,1.270959694,spec,-1.630300935,0.554209972,1.108419944
2510,Aeshna_canadensis,1,Aeshnidae,Aeshna,f,n,0.946796349,-1.204443136,-0.725689461,-0.474468355,1.404080795,1.270959694,spec,-1.630300935,0.660353943,1.320707886
2803,Aeshna_canadensis,1,Aeshnidae,Aeshna,f,n,-0.491913734,-1.562183302,-0.843582062,-1.344691169,-1.288259942,1.270959694,spec,-1.630300935,0.414769009,0.829538019
2811,Aeshna_canadensis,1,Aeshnidae,Aeshna,f,n,0.430176493,-1.825743599,-0.843582062,-1.340070565,1.070859065,1.270959694,spec,-1.630300935,0.572167967,1.144335934
2812,Aeshna_canadensis,1,Aeshnidae,Aeshna,f,n,-0.225273306,-1.407425461,-0.843582062,-1.172034618,0.590982716,1.270959694,spec,-1.630300935,0.460283997,0.920567994
2901,Aeshna_canadensis,1,Aeshnidae,Aeshna,f,n,0.08291417,-0.787905964,-0.26475145,-1.542753002,-0.278179544,1.270959694,spec,-1.630300935,0.512890983,1.025781966
2998,Aeshna_canadensis,1,Aeshnidae,Aeshna,f,n,0.009656155,-0.216774299,-0.843582062,-1.442418757,-0.077195922,1.270959694,spec,-1.630300935,0.500385986,1.000771973
3186,Aeshna_canadensis,0,Aeshnidae,Aeshna,f,n,-0.595353699,0.812620219,1.73793564,-1.236960745,0.856829634,1.270959694,spec,-1.630300935,0.397112014,0.794224029
3287,Aeshna_canadensis,0,Aeshnidae,Aeshna,f,n,-1.121311682,0.929562986,1.808940409,-1.528806359,-0.524163618,1.270959694,spec,-1.630300935,0.307332039,0.614664077
2296,Aeshna_constricta,1,Aeshnidae,Aeshna,f,n,-0.807834163,-0.352194586,-0.843582062,-0.472285116,0.686900402,1.270959694,spec,-0.777329836,0.360842024,0.721684048
2302,Aeshna_constricta,1,Aeshnidae,Aeshna,f,n,-0.353880519,-1.825743599,-0.843582062,-0.450417413,1.250013103,1.270959694,spec,-0.777329836,0.438331003,0.876662006
2402,Aeshna_constricta,1,Aeshnidae,Aeshna,f,n,-0.050754613,-1.796306188,-0.843582062,-0.670956103,1.495997177,1.270959694,spec,-0.777329836,0.490073989,0.980147978
2403,Aeshna_constricta,1,Aeshnidae,Aeshna,f,n,-0.266222808,-1.825743599,-0.843582062,-0.614357452,1.834955389,1.270959694,spec,-0.777329836,0.453293999,0.906587998
2486,Aeshna_constricta,0,Aeshnidae,Aeshna,f,n,-0.241254743,0.834252601,1.003655356,-0.391601328,-0.524163618,1.270959694,spec,-0.777329836,0.457555998,0.915111996
2488,Aeshna_constricta,0,Aeshnidae,Aeshna,f,n,-0.764775674,0.487689888,-0.843582062,-0.400554961,-0.841292246,1.270959694,spec,-0.777329836,0.368192022,0.736384044
2489,Aeshna_constricta,1,Aeshnidae,Aeshna,f,n,-0.580221716,0.36907049,-0.129087719,-0.441886824,0.856829634,1.270959694,spec,-0.777329836,0.399695014,0.799390027
2504,Aeshna_constricta,0,Aeshnidae,Aeshna,f,n,0.030236355,-1.825743599,-0.843582062,-0.836588694,0.09273331,1.270959694,spec,-0.777329836,0.503898985,1.007797971
2608,Aeshna_constricta,1,Aeshnidae,Aeshna,f,n,0.166107858,-0.837768031,-0.843582062,-0.880527215,1.070859065,1.270959694,spec,-0.777329836,0.527091979,1.054183958
2695,Aeshna_constricta,0,Aeshnidae,Aeshna,f,n,-0.762871727,-0.810593213,-0.843582062,-1.011056451,-2.052356266,1.270959694,spec,-0.777329836,0.368517022,0.737034044
2181,Aeshna_eremita,1,Aeshnidae,Aeshna,f,n,1.50073942,0.943153007,2.074563307,-1.63450602,-0.524163618,1.450407553,spec,-2.880950194,0.754910918,1.509821835
2686,Aeshna_eremita,0,Aeshnidae,Aeshna,f,n,-0.859422334,0.696309011,0.96719022,-0.677370909,-0.524163618,1.450407553,spec,-2.880950194,0.352036026,0.704072053
2811,Aeshna_eremita,1,Aeshnidae,Aeshna,f,n,0.430176493,-1.825743599,-0.843582062,-1.340070565,1.070859065,1.450407553,spec,-2.880950194,0.572167967,1.144335934
3186,Aeshna_eremita,0,Aeshnidae,Aeshna,f,n,-0.595353699,0.812620219,1.73793564,-1.236960745,0.856829634,1.450407553,spec,-2.880950194,0.397112014,0.794224029
3187,Aeshna_eremita,0,Aeshnidae,Aeshna,f,n,-1.348730805,1.066169092,2.192485731,-1.191786538,-0.524163618,1.450407553,spec,-2.880950194,0.268512049,0.537024098
3288,Aeshna_eremita,1,Aeshnidae,Aeshna,f,n,-1.635277729,0.694602885,1.627848606,-1.371450418,-0.524163618,1.450407553,spec,-2.880950194,0.219599062,0.439198124
1369,Aeshna_interrupta,0,Aeshnidae,Aeshna,f,n,0.675750481,1.068286755,1.198420276,0.536608113,-0.077195922,1.177266324,spec,-2.03152585,0.614086956,1.228173911
1470,Aeshna_interrupta,1,Aeshnidae,Aeshna,f,n,2.107682513,1.33076784,1.827691038,-0.054699974,-0.077195922,1.177266324,spec,-2.03152585,0.85851489,1.717029779
1664,Aeshna_interrupta,0,Aeshnidae,Aeshna,f,n,-2.071644763,1.467719697,2.253469652,0.698675096,-0.077195922,1.177266324,spec,-2.03152585,0.145112082,0.290224164
1776,Aeshna_interrupta,1,Aeshnidae,Aeshna,f,n,2.58389183,0.383376862,0.763120501,-0.725016114,-0.278179544,1.177266324,spec,-2.03152585,0.939802868,1.879605735
2069,Aeshna_interrupta,1,Aeshnidae,Aeshna,f,n,-0.21011789,0.985877803,1.496044892,-0.854902001,-0.278179544,1.177266324,spec,-2.03152585,0.462870996,0.925741993
2079,Aeshna_interrupta,0,Aeshnidae,Aeshna,f,n,0.754286822,0.457494997,0.971143346,-1.212232445,-0.077195922,1.177266324,spec,-2.03152585,0.627492952,1.254985904
2170,Aeshna_interrupta,1,Aeshnidae,Aeshna,f,n,1.087500947,0.942446786,1.553933599,-0.150870295,-0.278179544,1.177266324,spec,-2.03152585,0.684371937,1.368743873
2271,Aeshna_interrupta,1,Aeshnidae,Aeshna,f,n,0.069176461,1.168902645,1.46638134,-0.47624574,0.590982716,1.177266324,spec,-2.03152585,0.510545984,1.021091967
2371,Aeshna_interrupta,1,Aeshnidae,Aeshna,f,n,-0.050444123,1.524060566,2.702841667,-0.34128201,0.856829634,1.177266324,spec,-2.03152585,0.490126989,0.980253978
2387,Aeshna_interrupta,0,Aeshnidae,Aeshna,f,n,-0.316832644,0.444407347,-0.843582062,-0.328113814,0.932884476,1.177266324,spec,-2.03152585,0.444655001,0.889310003
2482,Aeshna_interrupta,0,Aeshnidae,Aeshna,f,n,0.601437973,0.373290541,0.709611485,-1.183323778,-0.077195922,1.177266324,spec,-2.03152585,0.601401959,1.202803918
2489,Aeshna_interrupta,1,Aeshnidae,Aeshna,f,n,-0.580221716,0.36907049,-0.129087719,-0.441886824,0.856829634,1.177266324,spec,-2.03152585,0.399695014,0.799390027
2572,Aeshna_interrupta,1,Aeshnidae,Aeshna,f,n,-1.12940785,1.469673575,2.489371872,-0.365485427,-0.524163618,1.177266324,spec,-2.03152585,0.305950039,0.611900078
2609,Aeshna_interrupta,0,Aeshnidae,Aeshna,f,n,0.028560882,-1.825743599,-0.843582062,-1.043163925,-1.288259942,1.177266324,spec,-2.03152585,0.503612985,1.007225971
2811,Aeshna_interrupta,1,Aeshnidae,Aeshna,f,n,0.430176493,-1.825743599,-0.843582062,-1.340070565,1.070859065,1.177266324,spec,-2.03152585,0.572167967,1.144335934
2896,Aeshna_interrupta,1,Aeshnidae,Aeshna,f,n,-1.212859303,-0.148511044,-0.843582062,-1.247792852,0.239932706,1.177266324,spec,-2.03152585,0.291705043,0.583410085
2901,Aeshna_interrupta,1,Aeshnidae,Aeshna,f,n,0.08291417,-0.787905964,-0.26475145,-1.542753002,-0.278179544,1.177266324,spec,-2.03152585,0.512890983,1.025781966
3186,Aeshna_interrupta,1,Aeshnidae,Aeshna,f,n,-0.595353699,0.812620219,1.73793564,-1.236960745,0.856829634,1.177266324,spec,-2.03152585,0.397112014,0.794224029
3289,Aeshna_interrupta,0,Aeshnidae,Aeshna,f,n,-2.607280653,-1.825743599,-0.843582062,-1.053031477,-1.288259942,1.177266324,spec,-2.03152585,0.053680107,0.107360214
1374,Aeshna_juncea,0,Aeshnidae,Aeshna,f,n,1.808505099,0.808822956,-0.71276918,0.952991577,0.590982716,1.105128141,spec,-3.380097147,0.807445903,1.614891807
2099,Aeshna_juncea,0,Aeshnidae,Aeshna,f,n,0.038197782,-0.397152519,-0.809289934,-0.082017552,1.193469531,1.105128141,spec,-3.380097147,0.505257985,1.01051597
