"FID","Genus_species","Persistence","Family","Genus","Repro_strategy","M_wing_color","z.temp.change","z.all.burned","z.high.burned","z.hist.temp","m.dark.score","z.per.obs"
470,"Sympetrum_corruptum",1,"Libellulidae","Sympetrum","p","n",0.856531695,-1.1736257903168,-0.843582061881812,2.08347722568853,0,-0.524163618251212
470,"Anax_junius",1,"Aeshnidae","Anax","f","n",0.856531695,-1.1736257903168,-0.843582061881812,2.08347722568853,0,-0.524163618251212
470,"Pantala_flavescens",1,"Libellulidae","Pantala","f","n",0.856531695,-1.1736257903168,-0.843582061881812,2.08347722568853,0,-0.524163618251212
470,"Pachydiplax_longipennis",1,"Libellulidae","Pachydiplax","p","y",0.856531695,-1.1736257903168,-0.843582061881812,2.08347722568853,1,-0.524163618251212
471,"Anax_junius",1,"Aeshnidae","Anax","f","n",0.660308008,-0.359251370815023,-0.843582061881812,1.92625656904246,0,-0.841292245720738
471,"Erythemis_simplicicollis",1,"Libellulidae","Erythemis","p","n",0.660308008,-0.359251370815023,-0.843582061881812,1.92625656904246,0,-0.841292245720738
471,"Pachydiplax_longipennis",1,"Libellulidae","Pachydiplax","p","y",0.660308008,-0.359251370815023,-0.843582061881812,1.92625656904246,1,-0.841292245720738
487,"Pachydiplax_longipennis",1,"Libellulidae","Pachydiplax","p","y",-0.64728751,0.68540801661749,-0.517261250884696,1.94919627171934,1,-0.524163618251212
487,"Celithemis_eponina",1,"Libellulidae","Celithemis","p","y",-0.64728751,0.68540801661749,-0.517261250884696,1.94919627171934,2,-0.524163618251212
487,"Erythemis_simplicicollis",1,"Libellulidae","Erythemis","p","n",-0.64728751,0.68540801661749,-0.517261250884696,1.94919627171934,0,-0.524163618251212
487,"Perithemis_tenera",1,"Libellulidae","Perithemis","p","y",-0.64728751,0.68540801661749,-0.517261250884696,1.94919627171934,1,-0.524163618251212
571,"Pachydiplax_longipennis",1,"Libellulidae","Pachydiplax","p","y",1.073347299,0.534826760489396,-0.842741633281762,1.9690778705726,1,-2.0523562660026
587,"Anax_junius",1,"Aeshnidae","Anax","f","n",-0.575119138,1.24515842082042,0.725875996686828,1.98063236819188,0,-0.0771959218450439
587,"Pachydiplax_longipennis",1,"Libellulidae","Pachydiplax","p","y",-0.575119138,1.24515842082042,0.725875996686828,1.98063236819188,1,-0.0771959218450439
587,"Perithemis_tenera",1,"Libellulidae","Perithemis","p","y",-0.575119138,1.24515842082042,0.725875996686828,1.98063236819188,1,-0.0771959218450439
587,"Celithemis_eponina",1,"Libellulidae","Celithemis","p","y",-0.575119138,1.24515842082042,0.725875996686828,1.98063236819188,2,-0.0771959218450439
587,"Libellula_incesta",1,"Libellulidae","Libellula","p","n",-0.575119138,1.24515842082042,0.725875996686828,1.98063236819188,0,-0.0771959218450439
587,"Erythemis_simplicicollis",1,"Libellulidae","Erythemis","p","n",-0.575119138,1.24515842082042,0.725875996686828,1.98063236819188,0,-0.0771959218450439
588,"Erythemis_simplicicollis",1,"Libellulidae","Erythemis","p","n",-0.498170396,1.49800062428031,-0.292484232232372,1.95589304447594,0,0.0927333097559504
588,"Pachydiplax_longipennis",1,"Libellulidae","Pachydiplax","p","y",-0.498170396,1.49800062428031,-0.292484232232372,1.95589304447594,1,0.0927333097559504
588,"Anax_junius",1,"Aeshnidae","Anax","f","n",-0.498170396,1.49800062428031,-0.292484232232372,1.95589304447594,0,0.0927333097559504
588,"Pantala_flavescens",1,"Libellulidae","Pantala","f","n",-0.498170396,1.49800062428031,-0.292484232232372,1.95589304447594,0,0.0927333097559504
588,"Celithemis_eponina",1,"Libellulidae","Celithemis","p","y",-0.498170396,1.49800062428031,-0.292484232232372,1.95589304447594,2,0.0927333097559504
588,"Perithemis_tenera",1,"Libellulidae","Perithemis","p","y",-0.498170396,1.49800062428031,-0.292484232232372,1.95589304447594,1,0.0927333097559504
588,"Celithemis_elisa",0,"Libellulidae","Celithemis","p","y",-0.498170396,1.49800062428031,-0.292484232232372,1.95589304447594,2,0.0927333097559504
673,"Libellula_luctuosa",1,"Libellulidae","Libellula","p","y",2.140242932,0.45172441719059,-0.1484682785084,1.77890346382725,2,-0.841292245720738
673,"Anax_junius",1,"Aeshnidae","Anax","f","n",2.140242932,0.45172441719059,-0.1484682785084,1.77890346382725,0,-0.841292245720738
673,"Celithemis_eponina",1,"Libellulidae","Celithemis","p","y",2.140242932,0.45172441719059,-0.1484682785084,1.77890346382725,2,-0.841292245720738
687,"Anax_junius",1,"Aeshnidae","Anax","f","n",-1.004743271,0.661051143664928,0.0122539240224108,2.01403214626543,0,-0.0771959218450439
687,"Perithemis_tenera",1,"Libellulidae","Perithemis","p","y",-1.004743271,0.661051143664928,0.0122539240224108,2.01403214626543,1,-0.0771959218450439
687,"Celithemis_eponina",1,"Libellulidae","Celithemis","p","y",-1.004743271,0.661051143664928,0.0122539240224108,2.01403214626543,2,-0.0771959218450439
687,"Pachydiplax_longipennis",1,"Libellulidae","Pachydiplax","p","y",-1.004743271,0.661051143664928,0.0122539240224108,2.01403214626543,1,-0.0771959218450439
687,"Erythemis_simplicicollis",1,"Libellulidae","Erythemis","p","n",-1.004743271,0.661051143664928,0.0122539240224108,2.01403214626543,0,-0.0771959218450439
687,"Pantala_flavescens",1,"Libellulidae","Pantala","f","n",-1.004743271,0.661051143664928,0.0122539240224108,2.01403214626543,0,-0.0771959218450439
688,"Pachydiplax_longipennis",1,"Libellulidae","Pachydiplax","p","y",-0.680427901,1.19004044118085,-0.143554138903867,2.0378629706052,1,-0.278179544395473
688,"Celithemis_eponina",1,"Libellulidae","Celithemis","p","y",-0.680427901,1.19004044118085,-0.143554138903867,2.0378629706052,2,-0.278179544395473
688,"Erythemis_simplicicollis",1,"Libellulidae","Erythemis","p","n",-0.680427901,1.19004044118085,-0.143554138903867,2.0378629706052,0,-0.278179544395473
688,"Anax_junius",1,"Aeshnidae","Anax","f","n",-0.680427901,1.19004044118085,-0.143554138903867,2.0378629706052,0,-0.278179544395473
688,"Libellula_incesta",1,"Libellulidae","Libellula","p","n",-0.680427901,1.19004044118085,-0.143554138903867,2.0378629706052,0,-0.278179544395473
689,"Pachydiplax_longipennis",1,"Libellulidae","Pachydiplax","p","y",-0.627761803,1.08720517760202,-0.576678632245144,1.97557732219773,1,-0.278179544395473
689,"Erythemis_simplicicollis",1,"Libellulidae","Erythemis","p","n",-0.627761803,1.08720517760202,-0.576678632245144,1.97557732219773,0,-0.278179544395473
689,"Perithemis_tenera",1,"Libellulidae","Perithemis","p","y",-0.627761803,1.08720517760202,-0.576678632245144,1.97557732219773,1,-0.278179544395473
689,"Anax_junius",1,"Aeshnidae","Anax","f","n",-0.627761803,1.08720517760202,-0.576678632245144,1.97557732219773,0,-0.278179544395473
689,"Celithemis_eponina",1,"Libellulidae","Celithemis","p","y",-0.627761803,1.08720517760202,-0.576678632245144,1.97557732219773,2,-0.278179544395473
788,"Erythemis_simplicicollis",1,"Libellulidae","Erythemis","p","n",-0.52916665,0.372779215165522,-0.457500690428882,1.89183019788526,0,-2.0523562660026
789,"Erythemis_simplicicollis",1,"Libellulidae","Erythemis","p","n",-0.41954618,1.26808777690347,0.0434710549471929,1.97159969442715,0,-0.278179544395473
789,"Anax_junius",1,"Aeshnidae","Anax","f","n",-0.41954618,1.26808777690347,0.0434710549471929,1.97159969442715,0,-0.278179544395473
789,"Pachydiplax_longipennis",1,"Libellulidae","Pachydiplax","p","y",-0.41954618,1.26808777690347,0.0434710549471929,1.97159969442715,1,-0.278179544395473
789,"Epitheca_cynosura",0,"Corduliidae","Epitheca","p","y",-0.41954618,1.26808777690347,0.0434710549471929,1.97159969442715,2,-0.278179544395473
789,"Pantala_flavescens",1,"Libellulidae","Pantala","f","n",-0.41954618,1.26808777690347,0.0434710549471929,1.97159969442715,0,-0.278179544395473
790,"Epitheca_princeps",1,"Corduliidae","Epitheca","f","y",-0.248097235,0.240343395461025,-0.438912987467437,1.8705716488257,2,-2.0523562660026
869,"Libellula_saturata",1,"Libellulidae","Libellula","p","y",2.056598155,-0.0218191644428568,-0.843582061881812,1.87844207122889,1,-1.28825994212691
869,"Sympetrum_corruptum",1,"Libellulidae","Sympetrum","p","n",2.056598155,-0.0218191644428568,-0.843582061881812,1.87844207122889,0,-1.28825994212691
872,"Erythemis_simplicicollis",1,"Libellulidae","Erythemis","p","n",1.487218469,-0.691131993504072,-0.745041743580124,1.68950316384085,0,-2.0523562660026
873,"Hagenius_brevistylus",1,"Gomphidae","Hagenius","f","n",1.960773977,-0.99075501436051,-0.438892346435057,1.63161800089385,0,-1.28825994212691
873,"Dromogomphus_spinosus",1,"Gomphidae","Dromogomphus","p","n",1.960773977,-0.99075501436051,-0.438892346435057,1.63161800089385,0,-1.28825994212691
874,"Celithemis_eponina",1,"Libellulidae","Celithemis","p","y",2.304796661,-1.21432000399671,-0.30812424907466,1.54184548150034,2,-0.524163618251212
874,"Libellula_luctuosa",1,"Libellulidae","Libellula","p","y",2.304796661,-1.21432000399671,-0.30812424907466,1.54184548150034,2,-0.524163618251212
874,"Sympetrum_vicinum",1,"Libellulidae","Sympetrum","p","y",2.304796661,-1.21432000399671,-0.30812424907466,1.54184548150034,1,-0.524163618251212
874,"Dromogomphus_spinosus",1,"Gomphidae","Dromogomphus","p","n",2.304796661,-1.21432000399671,-0.30812424907466,1.54184548150034,0,-0.524163618251212
875,"Perithemis_tenera",1,"Libellulidae","Perithemis","p","y",2.086258718,-0.68088999479547,0.0448061619719208,1.62191974202466,1,-0.524163618251212
875,"Libellula_incesta",1,"Libellulidae","Libellula","p","n",2.086258718,-0.68088999479547,0.0448061619719208,1.62191974202466,0,-0.524163618251212
875,"Erythemis_simplicicollis",1,"Libellulidae","Erythemis","p","n",2.086258718,-0.68088999479547,0.0448061619719208,1.62191974202466,0,-0.524163618251212
875,"Pachydiplax_longipennis",1,"Libellulidae","Pachydiplax","p","y",2.086258718,-0.68088999479547,0.0448061619719208,1.62191974202466,1,-0.524163618251212
876,"Plathemis_lydia",1,"Libellulidae","Plathemis","p","y",1.817474153,-0.251608090121972,-0.458541024114314,1.48037210104602,2,-0.524163618251212
876,"Perithemis_tenera",1,"Libellulidae","Perithemis","p","y",1.817474153,-0.251608090121972,-0.458541024114314,1.48037210104602,1,-0.524163618251212
876,"Libellula_luctuosa",1,"Libellulidae","Libellula","p","y",1.817474153,-0.251608090121972,-0.458541024114314,1.48037210104602,2,-0.524163618251212
876,"Libellula_pulchella",0,"Libellulidae","Libellula","p","y",1.817474153,-0.251608090121972,-0.458541024114314,1.48037210104602,2,-0.524163618251212
889,"Pachydiplax_longipennis",1,"Libellulidae","Pachydiplax","p","y",0.048233046,0.730009380601688,0.117152900804346,1.85181829333593,1,-1.28825994212691
889,"Anax_junius",1,"Aeshnidae","Anax","f","n",0.048233046,0.730009380601688,0.117152900804346,1.85181829333593,0,-1.28825994212691
890,"Erythemis_simplicicollis",1,"Libellulidae","Erythemis","p","n",-0.006231549,1.0360293080019,1.25377355512226,1.84492961830469,0,0.775136119352618
890,"Macromia_illinoiensis",1,"Corduliidae","Macromia","f","n",-0.006231549,1.0360293080019,1.25377355512226,1.84492961830469,0,0.775136119352618
890,"Epitheca_princeps",1,"Corduliidae","Epitheca","f","y",-0.006231549,1.0360293080019,1.25377355512226,1.84492961830469,2,0.775136119352618
