FID,Persistence,Family,Genus,Genus_species,Repro_strategy,M_wing_color,z.temp.change,z.burned
470,1,Libellulidae,Sympetrum,Sympetrum_corruptum,p,n,0.856531695,-0.974789473
470,1,Aeshnidae,Anax,Anax_junius,f,n,0.856531695,-0.974789473
470,1,Libellulidae,Pantala,Pantala_flavescens,f,n,0.856531695,-0.974789473
470,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,0.856531695,-0.974789473
471,1,Aeshnidae,Anax,Anax_junius,f,n,0.660308008,-0.974789473
471,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,0.660308008,-0.974789473
471,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,0.660308008,-0.974789473
487,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,-0.64728751,1.681528561
487,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,-0.64728751,1.681528561
487,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,-0.64728751,1.681528561
487,1,Libellulidae,Celithemis,Celithemis_eponina,p,y,-0.64728751,1.681528561
571,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,1.073347299,-0.974789473
587,1,Libellulidae,Libellula,Libellula_incesta,p,n,-0.575119138,1.934380616
587,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,-0.575119138,1.934380616
587,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,-0.575119138,1.934380616
587,1,Aeshnidae,Anax,Anax_junius,f,n,-0.575119138,1.934380616
587,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,-0.575119138,1.934380616
587,1,Libellulidae,Celithemis,Celithemis_eponina,p,y,-0.575119138,1.934380616
588,1,Libellulidae,Celithemis,Celithemis_eponina,p,y,-0.498170396,2.33962542
588,1,Aeshnidae,Anax,Anax_junius,f,n,-0.498170396,2.33962542
588,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,-0.498170396,2.33962542
588,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,-0.498170396,2.33962542
588,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,-0.498170396,2.33962542
588,0,Libellulidae,Celithemis,Celithemis_elisa,p,y,-0.498170396,2.33962542
588,1,Libellulidae,Pantala,Pantala_flavescens,f,n,-0.498170396,2.33962542
673,1,Aeshnidae,Anax,Anax_junius,f,n,2.140242932,0.312814529
673,1,Libellulidae,Celithemis,Celithemis_eponina,p,y,2.140242932,0.312814529
673,1,Libellulidae,Libellula,Libellula_luctuosa,p,y,2.140242932,0.312814529
687,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,-1.004743271,1.408551181
687,1,Libellulidae,Pantala,Pantala_flavescens,f,n,-1.004743271,1.408551181
687,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,-1.004743271,1.408551181
687,1,Aeshnidae,Anax,Anax_junius,f,n,-1.004743271,1.408551181
687,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,-1.004743271,1.408551181
687,1,Libellulidae,Celithemis,Celithemis_eponina,p,y,-1.004743271,1.408551181
688,1,Libellulidae,Libellula,Libellula_incesta,p,n,-0.680427901,1.959293617
688,1,Aeshnidae,Anax,Anax_junius,f,n,-0.680427901,1.959293617
688,1,Libellulidae,Celithemis,Celithemis_eponina,p,y,-0.680427901,1.959293617
688,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,-0.680427901,1.959293617
688,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,-0.680427901,1.959293617
689,1,Libellulidae,Celithemis,Celithemis_eponina,p,y,-0.627761803,2.066683842
689,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,-0.627761803,2.066683842
689,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,-0.627761803,2.066683842
689,1,Aeshnidae,Anax,Anax_junius,f,n,-0.627761803,2.066683842
689,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,-0.627761803,2.066683842
788,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,-0.52916665,0.645792748
789,1,Libellulidae,Pantala,Pantala_flavescens,f,n,-0.41954618,1.705576857
789,1,Aeshnidae,Anax,Anax_junius,f,n,-0.41954618,1.705576857
789,0,Corduliidae,Epitheca,Epitheca_cynosura,p,y,-0.41954618,1.705576857
789,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,-0.41954618,1.705576857
789,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,-0.41954618,1.705576857
790,1,Corduliidae,Epitheca,Epitheca_princeps,f,y,-0.248097235,0.495084319
869,1,Libellulidae,Sympetrum,Sympetrum_corruptum,p,n,2.056598155,0.415698002
869,1,Libellulidae,Libellula,Libellula_saturata,p,y,2.056598155,0.415698002
872,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,1.487218469,-0.974789473
873,1,Gomphidae,Dromogomphus,Dromogomphus_spinosus,p,n,1.960773977,-0.974789473
873,1,Gomphidae,Hagenius,Hagenius_brevistylus,f,n,1.960773977,-0.974789473
874,1,Gomphidae,Dromogomphus,Dromogomphus_spinosus,p,n,2.304796661,-0.974789473
874,1,Libellulidae,Celithemis,Celithemis_eponina,p,y,2.304796661,-0.974789473
874,1,Libellulidae,Sympetrum,Sympetrum_vicinum,p,y,2.304796661,-0.974789473
874,1,Libellulidae,Libellula,Libellula_luctuosa,p,y,2.304796661,-0.974789473
875,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,2.086258718,-0.974789473
875,1,Libellulidae,Libellula,Libellula_incesta,p,n,2.086258718,-0.974789473
875,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,2.086258718,-0.974789473
875,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,2.086258718,-0.974789473
876,1,Libellulidae,Libellula,Libellula_luctuosa,p,y,1.817474153,-0.974789473
876,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,1.817474153,-0.974789473
876,1,Libellulidae,Plathemis,Plathemis_lydia,p,y,1.817474153,-0.974789473
876,0,Libellulidae,Libellula,Libellula_pulchella,p,y,1.817474153,-0.974789473
889,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,0.048233046,0.759708343
889,1,Aeshnidae,Anax,Anax_junius,f,n,0.048233046,0.759708343
890,0,Gomphidae,Dromogomphus,Dromogomphus_spinosus,p,n,-0.006231549,1.456655872
890,1,Gomphidae,Hagenius,Hagenius_brevistylus,f,n,-0.006231549,1.456655872
890,1,Libellulidae,Celithemis,Celithemis_eponina,p,y,-0.006231549,1.456655872
890,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,-0.006231549,1.456655872
890,1,Libellulidae,Libellula,Libellula_incesta,p,n,-0.006231549,1.456655872
890,1,Corduliidae,Epitheca,Epitheca_princeps,f,y,-0.006231549,1.456655872
890,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,-0.006231549,1.456655872
890,0,Libellulidae,Pantala,Pantala_hymenaea,f,y,-0.006231549,1.456655872
890,1,Aeshnidae,Anax,Anax_junius,f,n,-0.006231549,1.456655872
890,1,Libellulidae,Pantala,Pantala_flavescens,f,n,-0.006231549,1.456655872
890,0,Aeshnidae,Boyeria,Boyeria_vinosa,f,y,-0.006231549,1.456655872
890,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,-0.006231549,1.456655872
890,1,Corduliidae,Macromia,Macromia_illinoiensis,f,n,-0.006231549,1.456655872
891,0,Aeshnidae,Anax,Anax_junius,f,n,-0.093051523,-0.974789473
972,1,Aeshnidae,Anax,Anax_junius,f,n,1.987757297,-0.974789473
972,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,1.987757297,-0.974789473
974,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,2.495941204,-0.974789473
974,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,2.495941204,-0.974789473
974,1,Libellulidae,Plathemis,Plathemis_lydia,p,y,2.495941204,-0.974789473
974,1,Libellulidae,Libellula,Libellula_luctuosa,p,y,2.495941204,-0.974789473
975,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,2.332980932,-0.322604074
975,1,Libellulidae,Libellula,Libellula_pulchella,p,y,2.332980932,-0.322604074
975,1,Libellulidae,Sympetrum,Sympetrum_corruptum,p,n,2.332980932,-0.322604074
975,1,Aeshnidae,Anax,Anax_junius,f,n,2.332980932,-0.322604074
975,1,Libellulidae,Pantala,Pantala_flavescens,f,n,2.332980932,-0.322604074
975,1,Libellulidae,Celithemis,Celithemis_eponina,p,y,2.332980932,-0.322604074
975,1,Libellulidae,Libellula,Libellula_luctuosa,p,y,2.332980932,-0.322604074
976,1,Libellulidae,Libellula,Libellula_luctuosa,p,y,1.752845411,-0.974789473
977,1,Corduliidae,Didymops,Didymops_transversa,f,y,1.700314054,-0.974789473
977,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,1.700314054,-0.974789473
977,0,Corduliidae,Epitheca,Epitheca_cynosura,p,y,1.700314054,-0.974789473
978,1,Aeshnidae,Boyeria,Boyeria_vinosa,f,y,1.574296208,0.428721174
978,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,1.574296208,0.428721174
982,1,Libellulidae,Libellula,Libellula_incesta,p,n,0.412812498,-0.563632236
983,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,-0.241172727,0.12590232
983,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,-0.241172727,0.12590232
983,1,Gomphidae,Phanogomphus,Gomphus_exilis,p,n,-0.241172727,0.12590232
983,1,Libellulidae,Celithemis,Celithemis_eponina,p,y,-0.241172727,0.12590232
983,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,-0.241172727,0.12590232
983,1,Libellulidae,Plathemis,Plathemis_lydia,p,y,-0.241172727,0.12590232
985,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,-0.822075685,0.846249267
985,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,-0.822075685,0.846249267
985,1,Aeshnidae,Anax,Anax_junius,f,n,-0.822075685,0.846249267
986,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,-1.355959945,0.311105273
986,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,-1.355959945,0.311105273
987,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,-0.576530988,1.995911665
987,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,-0.576530988,1.995911665
988,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,0.494160822,0.6443682
990,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,0.670202673,0.74559685
990,1,Libellulidae,Pantala,Pantala_flavescens,f,n,0.670202673,0.74559685
990,0,Cordulegastridae,Cordulegaster,Cordulegaster_maculata,f,n,0.670202673,0.74559685
990,1,Corduliidae,Epitheca,Epitheca_princeps,f,y,0.670202673,0.74559685
990,1,Aeshnidae,Anax,Anax_junius,f,n,0.670202673,0.74559685
990,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,0.670202673,0.74559685
990,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,0.670202673,0.74559685
990,1,Libellulidae,Celithemis,Celithemis_eponina,p,y,0.670202673,0.74559685
991,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,0.713507211,1.269302458
991,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,0.713507211,1.269302458
991,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,0.713507211,1.269302458
